municipality,nom_ent,nom_mun,margination,T_mortalidad,T_mortalidad_Rural,T_mortalidad_Urbano,pct_single,avg_children_born,pct_fem_primary_degree,insurance_none,avg_prenatal_consults
5023,Coahuila de Zaragoza,Ocampo,-0.982784433,0,0,0,31.5,2.8,22.6,48,7.09104522
5024,Coahuila de Zaragoza,Parras,-1.188678901,0.295420975,0.372856078,0,34.6,2.6,27,486,7.79024604
5025,Coahuila de Zaragoza,Piedras Negras,-1.433370849,0.228728271,0.229042602,0,32.6,2.3,20.3,1157,7.129628189
5026,Coahuila de Zaragoza,Progreso,-1.17130668,0,0,0,30.5,2.8,15.9,23,7.354640034
5027,Coahuila de Zaragoza,Ramos Arizpe,-1.39920487,0.386249517,0.40866367,0,30.2,2.2,19,2298,7.683528739
5028,Coahuila de Zaragoza,Sabinas,-1.443266656,0.472032098,0.492368291,0,31.1,2.3,23.4,367,7.974377972
5029,Coahuila de Zaragoza,Sacramento,-1.324398185,0,0,0,30,2.5,26.3,65,7.558050031
5030,Coahuila de Zaragoza,Saltillo,-1.47482116,0.475184794,0.46262522,1.615508885,33.9,2.2,20.7,10464,7.589814923
5031,Coahuila de Zaragoza,San Buenaventura,-1.461562928,0,0,0,29.5,2.4,23.3,848,8.117153284
5032,Coahuila de Zaragoza,San Juan de Sabinas,-1.440104027,1.050052503,0.404694456,5.18134715,29.8,2.3,22.2,167,7.804639374
5033,Coahuila de Zaragoza,San Pedro,-1.143361491,0.244498778,0.277970813,0,31.8,2.7,24.8,1153,6.747108163
5034,Coahuila de Zaragoza,Sierra Mojada,-1.202290463,3.937007874,8,0,28.1,2.4,24.2,61,7.409022978
5035,Coahuila de Zaragoza,Torreón,-1.470280663,0.396717683,0.381267078,1.46627566,34.3,2.1,22.1,16958,7.44811712
5036,Coahuila de Zaragoza,Viesca,-0.995820174,0,0,0,30.6,2.9,20.5,358,7.659767093
5037,Coahuila de Zaragoza,Villa Unión,-1.265820973,0,0,0,30.1,2.7,13.6,32,7.655256027
