cve,entidad,pob
252,Riva Palacio,0
253,Rosales,1.326259947
254,Rosario,0
255,San Francisco de Borja,0
256,San Francisco de Conchos,0
257,San Francisco del Oro,0
258,Santa Bárbara,0
259,Satevó,0
260,Saucillo,0.936329588
261,Temósachic,0
262,El Tule,0
263,Urique,0
264,Uruachi,0
265,Valle de Zaragoza,0
266,Azcapotzalco,0.783162017
267,Coyoacán,0.501684226
268,Cuajimalpa de Morelos,0.771604938
269,Gustavo A. Madero,0.391890873
270,Iztacalco,0.636661933
271,Iztapalapa,0.622611328
272,La Magdalena Contreras,0.417246175
273,Milpa Alta,0.771860183
274,Álvaro Obregón,0.564599605
275,Tláhuac,0.593941794
276,Tlalpan,0.254445732
277,Xochimilco,0.782227785
278,Benito Juárez,0.468290072
279,Cuauhtémoc,0.630657368
280,Miguel Hidalgo,0.453437624
281,Venustiano Carranza,0.335894529
282,Canatlán,0
283,Canelas,0
284,Coneto de Comonfort,0
285,Cuencamé,0
286,Durango,0.465202828
287,General Simón Bolívar,0
288,Gómez Palacio,0.476025619
289,Guadalupe Victoria,0.710732054
290,Guanaceví,0
291,Hidalgo,0
292,Indé,0
293,Lerdo,0.232720503
294,Mapimí,0.594530321
295,Mezquital,0
296,Nazas,0
297,Nombre de Dios,0
298,Ocampo,0
299,El Oro,0
300,Otáez,0
301,Pánuco de Coronado,3.968253968
302,Peñón Blanco,2.309468822
303,Poanas,0
304,Pueblo Nuevo,0
305,Rodeo,0
306,San Bernardo,0
307,San Dimas,4.444444444
308,San Juan de Guadalupe,0
309,San Juan del Río,0
310,San Luis del Cordero,0
311,San Pedro del Gallo,0
312,Santa Clara,0
313,Santiago Papasquiaro,0.39824771
314,Súchil,0
315,Tamazula,0
316,Tepehuanes,2.493765586
317,Tlahualilo,1.091703057
318,Topia,0
319,Vicente Guerrero,0
320,Nuevo Ideal,0
321,Abasolo,0.310655483
322,Acámbaro,0.434688111
323,San Miguel de Allende,0.170357751
324,Apaseo el Alto,0.344234079
325,Apaseo el Grande,0.432619511
326,Atarjea,0
327,Celaya,0.231541779
328,Manuel Doblado,0
329,Comonfort,0
330,Coroneo,0
331,Cortazar,0.184672207
332,Cuerámaro,0
333,Doctor Mora,0
334,Dolores Hidalgo Cuna de la Independencia Nacional,0.56022409
335,Guanajuato,0.375481085
336,Huanímaro,2.123142251
337,Irapuato,0.338859347
338,Jaral del Progreso,0.534473544
339,Jerécuaro,2.288329519
340,León,0.380291619
341,Moroleón,0.698080279
342,Ocampo,0
343,Pénjamo,0.189071658
344,Pueblo Nuevo,0
345,Purísima del Rincón,0.492368291
346,Romita,0.493096647
347,Salamanca,0.56334061
348,Salvatierra,0.914773594
349,San Diego de la Unión,1.070663812
350,San Felipe,0.493705258
351,San Francisco del Rincón,0.267916946
352,San José Iturbide,0.734753857
353,San Luis de la Paz,1.360279829
354,Santa Catarina,0
355,Santa Cruz de Juventino Rosas,0.79649542
356,Santiago Maravatío,0
357,Silao,0.495392847
358,Tarandacuao,0
359,Tarimoro,0
360,Tierra Blanca,0
361,Uriangato,0.26157468
362,Valle de Santiago,0.375869198
363,Victoria,0
364,Villagrán,0.253485425
365,Xichú,0
366,Yuriria,0
367,Acapulco de Juárez,0.50713446
368,Ahuacuotzingo,0
369,Ajuchitlán del Progreso,0
370,Alcozauca de Guerrero,3.367003367
371,Alpoyeca,0
372,Apaxtla,9.302325581
373,Arcelia,0.896057348
374,Atenango del Río,0
375,Atlamajalcingo del Monte,0
376,Atlixtac,3.636363636
377,Atoyac de Álvarez,2.578981302
378,Ayutla de los Libres,1.178550383
379,Azoyú,0
380,Benito Juárez,0
381,Buenavista de Cuéllar,0
382,Coahuayutla de José María Izazaga,0
383,Cocula,0
384,Copala,4.750593824
385,Copalillo,1.529051988
386,Copanatoyac,7.01754386
387,Coyuca de Benítez,0
388,Coyuca de Catalán,0
389,Cuajinicuilapa,1.028806584
