cve,entidad,pob
174,TEOPISCA,0.1972804
175,TILA,0.258024619
176,TONALÁ,-0.609254753
177,TOTOLAPA,0.141117412
178,LA TRINITARIA,-0.353061415
179,TUMBALÁ,0.54612247
180,TUXTLA GUTIÉRREZ,-1.209481377
181,TUXTLA CHICO,-0.44766235
182,TUZANTÁN,-0.293228152
183,TZIMOL,-0.368770455
184,UNIÓN JUÁREZ,-0.52073446
185,VENUSTIANO CARRANZA,-0.153149088
186,VILLA CORZO,-0.295622726
187,VILLAFLORES,-0.553381215
188,YAJALÓN,0.361192101
189,SAN LUCAS,0.182812251
190,ZINACANTÁN,0.623254082
191,SAN JUAN CANCUC,0.873297839
192,ALDAMA,0.643118415
193,BENEMÉRITO DE LAS AMÉRICAS,-0.079800341
194,MARAVILLA TENEJAPA,0.262519937
195,MARQUÉS DE COMILLAS,0.085950172
196,MONTECRISTO DE GUERRERO,-0.135806681
197,SAN ANDRÉS DURAZNAL,0.35377868
198,SANTIAGO EL PINAR,0.455985239
199,CHIHUAHUA,-1.181715833
200,AHUMADA,-1.304876092
201,ALDAMA,-1.274878024
202,ALLENDE,-1.152961976
203,AQUILES SERDÁN,-1.079575704
204,ASCENSIÓN,-1.055381883
205,BACHÍNIVA,0.513774208
206,BALLEZA,1.358149185
207,BATOPILAS,-0.325958215
208,BOCOYNA,-1.166447015
209,BUENAVENTURA,-1.352418633
210,CAMARGO,0.705691723
211,CARICHÍ,-1.132152612
212,CASAS GRANDES,-1.174431699
213,CORONADO,-0.929871386
214,COYAME DEL SOTOL,-1.301341411
215,LA CRUZ,-1.409114252
216,CUAUHTÉMOC,-1.138524825
217,CUSIHUIRIACHI,-1.529693003
218,CHIHUAHUA,0.213416598
219,CHÍNIPAS,-1.423174596
220,DELICIAS,-1.107162144
221,DR. BELISARIO DOMÍNGUEZ,-1.103881704
222,GALEANA,-1.275597841
223,SANTA ISABEL,-1.256914773
224,GÓMEZ FARÍAS,-1.089070863
225,GRAN MORELOS,0.613989466
226,GUACHOCHI,-1.146849319
227,GUADALUPE,0.740105991
228,GUADALUPE Y CALVO,0.134032618
229,GUAZAPARES,-0.967652778
230,GUERRERO,-1.426692316
231,HIDALGO DEL PARRAL,-0.809092183
232,HUEJOTITÁN,-1.246055004
233,IGNACIO ZARAGOZA,-1.084331863
234,JANOS,-1.257608271
235,JIMÉNEZ,-1.411735338
236,JUÁREZ,-1.161363033
237,JULIMES,-1.268649565
238,LÓPEZ,-1.055662666
239,MADERA,0.033262415
240,MAGUARICHI,-0.656655153
241,MANUEL BENAVIDES,-1.123584472
242,MATACHÍ,-1.209919049
243,MATAMOROS,-1.25393378
244,MEOQUI,0.505792149
245,MORELOS,-0.289017112
246,MORIS,-1.258425
247,NAMIQUIPA,-0.365151808
248,NONOAVA,-1.426799771
249,NUEVO CASAS GRANDES,-0.395721044
250,OCAMPO,-1.318529714
251,OJINAGA,-1.149435403
252,PRAXEDIS G. GUERRERO,-1.487806702
253,RIVA PALACIO,-1.186073476
254,ROSALES,-0.85187566
255,ROSARIO,-0.984629651
256,SAN FRANCISCO DE BORJA,-1.230962521
257,SAN FRANCISCO DE CONCHOS,-1.332458258
258,SAN FRANCISCO DEL ORO,-1.342800834
259,SANTA BÁRBARA,-1.081517313
260,SATEVÓ,-1.278765287
261,SAUCILLO,-0.637971019
262,TEMÓSACHI,-0.870104976
263,EL TULE,0.241945232
264,URIQUE,0.343874866
265,URUACHI,-1.11378094
266,VALLE DE ZARAGOZA,-1.5165
267,AZCAPOTZALCO,-1.5462
268,COYOACÁN,-1.410606909
269,CUAJIMALPA DE MORELOS,-1.456
270,GUSTAVO A. MADERO,-1.4864
271,IZTACALCO,-1.3814
272,IZTAPALAPA,-1.390362229
273,LA MAGDALENA CONTRERAS,-1.125473035
274,MILPA ALTA,-1.454246777
275,ÁLVARO OBREGÓN,-1.37837402
276,TLÁHUAC,-1.391390738
277,TLALPAN,-1.330163062
278,XOCHIMILCO,-1.6562
279,BENITO JUÁREZ,-1.5281
280,CUAUHTÉMOC,-1.5777
281,MIGUEL HIDALGO,-1.4954
282,VENUSTIANO CARRANZA,-1.101631375
283,CANATLÁN,0.042375036
284,CANELAS,-0.887770132
285,CONETO DE COMONFORT,-1.059668964
286,CUENCAMÉ,-1.367489835
287,DURANGO,-0.824000358
288,GENERAL SIMÓN BOLÍVAR,-1.358710039
289,GÓMEZ PALACIO,-1.186806223
290,GUADALUPE VICTORIA,-0.397137097
291,GUANACEVÍ,-1.061200774
292,HIDALGO,-1.046090265
293,INDÉ,-1.279558569
294,LERDO,-1.025487095
295,MAPIMÍ,1.133244937
296,MEZQUITAL,-1.027096213
297,NAZAS,-1.017221533
298,NOMBRE DE DIOS,-1.070973883
299,OCAMPO,-1.182339929
300,EL ORO,0.115034562
301,OTÁEZ,-1.079782862
302,PÁNUCO DE CORONADO,-0.955622458
303,PEÑÓN BLANCO,-1.094431451
304,POANAS,-0.335133735
305,PUEBLO NUEVO,-1.106874593
306,RODEO,-0.732745733
307,SAN BERNARDO,-0.400007364
308,SAN DIMAS,-0.762550816
309,SAN JUAN DE GUADALUPE,-0.996297857
310,SAN JUAN DEL RÍO,-1.001708574
311,SAN LUIS DEL CORDERO,-1.075612346
312,SAN PEDRO DEL GALLO,-0.97448762
313,SANTA CLARA,-0.964515225
314,SANTIAGO PAPASQUIARO,-0.714245215
315,SÚCHIL,0.194060551
316,TAMAZULA,-0.636321368
317,TEPEHUANES,-1.107509499
318,TLAHUALILO,-0.226749085
319,TOPIA,-1.19376078
320,VICENTE GUERRERO,-1.115787122
321,NUEVO IDEAL,-0.768276047
322,ABASOLO,-1.01479108
323,ACÁMBARO,-0.724357879
324,SAN MIGUEL DE ALLENDE,-0.832875868
325,APASEO EL ALTO,-0.937159522
326,APASEO EL GRANDE,-0.030277148
327,ATARJEA,-1.231551851
328,CELAYA,-0.757712042
329,MANUEL DOBLADO,-0.610492713
330,COMONFORT,-0.838401463
331,CORONEO,-1.052559732
332,CORTAZAR,-0.873154779
333,CUERÁMARO,-0.582975913
334,DOCTOR MORA,-0.671849198
335,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NAL.,-1.147357486
336,GUANAJUATO,-0.870653353
337,HUANÍMARO,-1.185295617
338,IRAPUATO,-1.022141461
339,JARAL DEL PROGRESO,-0.553910688
340,JERÉCUARO,-1.227135862
341,LEÓN,-1.182444832
342,MOROLEÓN,-0.590820632
343,OCAMPO,-0.780620304
344,PÉNJAMO,-0.856682944
345,PUEBLO NUEVO,-1.043165513
346,PURÍSIMA DEL RINCÓN,-0.732982828
347,ROMITA,-1.19736841
348,SALAMANCA,-0.921567773
349,SALVATIERRA,-0.489904725
350,SAN DIEGO DE LA UNIÓN,-0.546816794
351,SAN FELIPE,-1.052183834
352,SAN FRANCISCO DEL RINCÓN,-0.906080781
353,SAN JOSÉ ITURBIDE,-0.628904843
354,SAN LUIS DE LA PAZ,-0.428280117
355,SANTA CATARINA,-0.78149925
356,SANTA CRUZ DE JUVENTINO ROSAS,-0.86839006
357,SANTIAGO MARAVATÍO,-0.905008187
358,SILAO,-0.984334361
359,TARANDACUAO,-0.821609218
360,TARIMORO,-0.117957078
361,TIERRA BLANCA,-1.073747229
362,URIANGATO,-0.8877075
363,VALLE DE SANTIAGO,-0.419754692
364,VICTORIA,-1.066323873
365,VILLAGRÁN,-0.06018782
366,XICHÚ,-0.813492699
367,YURIRIA,-0.934157933
368,ACAPULCO DE JUÁREZ,0.508919755
369,AHUACUOTZINGO,0.241877269
370,AJUCHITLÁN DEL PROGRESO,1.05757289
371,ALCOZAUCA DE GUERRERO,-0.50332242
372,ALPOYECA,-0.355348793
373,APAXTLA,-0.394988033
374,ARCELIA,-0.144932086
375,ATENANGO DEL RÍO,0.660826463
376,ATLAMAJALCINGO DEL MONTE,0.802244945
377,ATLIXTAC,-0.400470311
378,ATOYAC DE ÁLVAREZ,0.294893602
379,AYUTLA DE LOS LIBRES,-0.050801414
380,AZOYÚ,-0.632207124
381,BENITO JUÁREZ,-0.882787019
382,BUENAVISTA DE CUÉLLAR,0.538950226
383,COAHUAYUTLA DE JOSÉ MARÍA IZAZAGA,-0.448389168
384,COCULA,-0.277395013
385,COPALA,0.823507111
386,COPALILLO,1.127589902
387,COPANATOYAC,-0.223270165
388,COYUCA DE BENÍTEZ,0.023915565
389,COYUCA DE CATALÁN,-0.13271638
390,CUAJINICUILAPA,-0.095187698
391,CUALÁC,0.22955179
392,CUAUTEPEC,-0.017733952
393,CUETZALA DEL PROGRESO,-0.164373985
394,CUTZAMALA DE PINZÓN,0.451235989
395,CHILAPA DE ÁLVAREZ,-0.899278197
396,CHILPANCINGO DE LOS BRAVO,-0.248985487
397,FLORENCIO VILLARREAL,-0.033174639
398,GENERAL CANUTO A. NERI,0.471653203
399,GENERAL HELIODORO CASTILLO,-0.573829202
400,HUAMUXTITLÁN,-0.381854274
401,HUITZUCO DE LOS FIGUEROA,-0.971891261
402,IGUALA DE LA INDEPENDENCIA,0.025118234
403,IGUALAPA,-0.35034969
404,IXCATEOPAN DE CUAUHTÉMOC,-0.917946017
405,JOSÉ AZUETA,-0.463476699
406,JUAN R. ESCUDERO,-0.15818229
407,LEONARDO BRAVO,0.596454732
408,MALINALTEPEC,0.417021382
409,MÁRTIR DE CUILAPAN,1.398303958
410,METLATÓNOC,-0.326742475
411,MOCHITLÁN,0.379468475
412,OLINALÁ ,0.059511262
413,OMETEPEC,0.561090642
414,PEDRO ASCENCIO ALQUISIRAS,-0.560340666
415,PETATLÁN,-0.614813843
416,PILCAYA,-0.753459905
417,PUNGARABATO,0.212023105
418,QUECHULTENANGO,0.646688532
419,SAN LUIS ACATLÁN,-0.061012111
420,SAN MARCOS,0.722441844
421,SAN MIGUEL TOTOLAPAN,-0.699600775
422,TAXCO DE ALARCÓN,-0.056122063
423,TECOANAPA,-0.470103676
424,TÉCPAN DE GALEANA,-0.30652863
425,TELOLOAPAN,-0.20059087
426,TEPECOACUILCO DE TRUJANO,-0.232881406
427,TETIPAC,-0.277825061
428,TIXTLA DE GUERRERO,1.369088032
429,TLACOACHISTLAHUACA,0.75508496
430,TLACOAPA,-0.35686595
431,TLALCHAPA,0.127292207
432,TLALIXTAQUILLA DE MALDONADO,-0.151054929
433,TLAPA DE COMONFORT,-0.291369756
434,TLAPEHUALA,-0.352897173
435,LA UNIÓN DE ISIDORO MONTES DE OCA,0.867009975
436,XALPATLÁHUAC,-0.164525893
437,XOCHIHUEHUETLÁN,0.928740133
438,XOCHISTLAHUACA,0.614107531
439,ZAPOTITLÁN TABLAS,0.024134524
440,ZIRÁNDARO,0.547388192
441,ZITLALA,-0.349448122
442,EDUARDO NERI,0.905635774
443,ACATEPEC,-0.398238143
444,MARQUELIA,2.209016285
445,COCHOAPA EL GRANDE,1.351404254
446,JOSÉ JOAQUÍN DE HERRERA,-0.018193762
447,JUCHITÁN,0.496699411
448,ILIATENCO,-0.541870892
449,ACATLÁN,0.044321654
450,ACAXOCHITLÁN,-1.0867357
451,ACTOPAN,-0.401575606
452,AGUA BLANCA DE ITURBIDE,-0.963871645
453,AJACUBA,-0.650803194
454,ALFAJAYUCAN,-0.839095653
455,ALMOLOYA,-1.101326645
456,APAN,-0.867867279
457,EL ARENAL,-1.24011605
458,ATITALAQUIA,-0.312931868
459,ATLAPEXCO,-0.701464607
460,ATOTONILCO EL GRANDE,-1.193108932
461,ATOTONILCO DE TULA,-0.281797895
462,CALNALI,-0.566258648
463,CARDONAL,-0.72352753
464,CUAUTEPEC DE HINOJOSA,-0.595868633
465,CHAPANTONGO,-0.332527239
466,CHAPULHUACÁN,-0.749260134
467,CHILCUAUTLA,-0.60888325
468,ELOXOCHITLÁN,-1.23003524
469,EMILIANO ZAPATA,-1.019947795
470,EPAZOYUCAN,-1.048893767
471,FRANCISCO I. MADERO,-0.699098021
472,HUASCA DE OCAMPO,-0.29295055
473,HUAUTLA,-0.009197856
474,HUAZALINGO,0.260995255
475,HUEHUETLA,-0.410222807
476,HUEJUTLA DE REYES,-0.955616788
477,HUICHAPAN,-0.940348789
478,IXMIQUILPAN,-0.58745813
479,JACALA DE LEDEZMA,-0.297379749
480,JALTOCÁN,-0.547606201
481,JUÁREZ HIDALGO,-0.304228843
